ID	block	trial_block	trial_cat	trial_total	number	violation	level_violation	onset	duration	Response	Hit_Miss	RT	pre_trial_fixcross_ISI
first_trigger_at: 11126
trigger nr 53 at 63125
45	Single	1	649	1	8	0	0	70532	683	0	correct_rejection	NA	7337
45	Single	2	650	2	9	0	0	71249	683	0	correct_rejection	NA	0
45	Single	3	651	3	8	0	0	71965	684	0	correct_rejection	NA	0
45	Single	4	652	4	5	0	0	72682	683	0	correct_rejection	NA	0
45	Single	5	653	5	4	0	0	73399	683	0	correct_rejection	NA	0
45	Single	6	654	6	4	0	0	74115	684	0	correct_rejection	NA	0
45	Single	7	655	7	9	0	0	74832	683	0	correct_rejection	NA	0
45	Single	8	656	8	9	0	0	75549	683	0	correct_rejection	NA	0
45	Single	9	657	9	4	0	0	76265	684	0	correct_rejection	NA	0
45	Single	10	658	10	7	0	0	76982	683	0	correct_rejection	NA	0
45	Single	11	659	11	4	0	0	77699	683	0	correct_rejection	NA	0
45	Single	12	660	12	5	0	0	78415	684	0	correct_rejection	NA	0
45	Single	13	661	13	7	0	0	79132	683	0	correct_rejection	NA	0
45	Single	14	662	14	6	0	0	79849	683	0	correct_rejection	NA	0
45	Single	15	663	15	8	0	0	80565	684	0	correct_rejection	NA	0
45	Single	16	664	16	7	0	0	81282	683	0	correct_rejection	NA	0
45	Single	17	665	17	5	0	0	81999	683	0	correct_rejection	NA	0
45	Single	18	666	18	5	0	0	82715	684	0	correct_rejection	NA	0
45	Single	19	667	19	9	0	0	83432	683	0	correct_rejection	NA	0
45	Single	20	668	20	5	0	0	84148	684	0	correct_rejection	NA	0
45	Single	21	669	21	0	1	1	84865	683	1	hit	509	0
45	Single	22	670	22	8	0	0	85582	683	0	correct_rejection	NA	0
45	Single	23	671	23	6	0	0	86298	684	0	correct_rejection	NA	0
45	Single	24	672	24	5	0	0	87015	683	0	correct_rejection	NA	0
45	Single	25	673	25	6	0	0	87732	683	0	correct_rejection	NA	0
45	Single	26	674	26	6	0	0	88448	684	0	correct_rejection	NA	0
45	Single	27	675	27	7	0	0	89165	683	0	correct_rejection	NA	0
45	Single	28	676	28	9	0	0	89882	683	0	correct_rejection	NA	0
45	Single	29	677	29	6	0	0	90598	684	0	correct_rejection	NA	0
45	Single	30	678	30	9	0	0	91315	683	0	correct_rejection	NA	0
45	Single	31	679	31	7	0	0	92032	683	0	correct_rejection	NA	0
45	Single	32	680	32	7	0	0	92748	684	0	correct_rejection	NA	0
45	Single	33	681	33	0	1	1	93465	683	1	hit	546	0
45	Single	34	682	34	8	0	0	94182	683	0	correct_rejection	NA	0
45	Single	35	683	35	8	0	0	94898	684	0	correct_rejection	NA	0
45	Single	36	684	36	4	0	0	95615	683	0	correct_rejection	NA	0
45	Single	37	685	37	6	0	0	96332	683	0	correct_rejection	NA	0
45	Single	38	686	38	4	0	0	97048	684	0	correct_rejection	NA	0
45	Single	39	687	39	7	0	0	97765	683	0	correct_rejection	NA	0
45	Single	40	688	40	9	0	0	98482	683	0	correct_rejection	NA	0
45	Single	41	689	41	5	0	0	99198	684	0	correct_rejection	NA	0
45	Single	42	690	42	9	0	0	99915	683	0	correct_rejection	NA	0
45	Single	43	691	43	4	0	0	100632	683	0	correct_rejection	NA	0
45	Single	44	692	44	8	0	0	101348	684	0	correct_rejection	NA	0
45	Single	45	693	45	4	0	0	102065	683	0	correct_rejection	NA	0
45	Single	46	694	46	9	0	0	102782	683	0	correct_rejection	NA	0
45	Single	47	695	47	7	0	0	103498	684	0	correct_rejection	NA	0
45	Single	48	696	48	8	0	0	104215	683	0	correct_rejection	NA	0
45	Single	49	697	49	9	0	0	104932	683	0	correct_rejection	NA	0
45	Single	50	698	50	6	0	0	105648	684	0	correct_rejection	NA	0
45	Single	51	699	51	8	0	0	106365	683	0	correct_rejection	NA	0
45	Single	52	700	52	8	0	0	107082	683	0	correct_rejection	NA	0
45	Single	53	701	53	5	0	0	107798	684	0	correct_rejection	NA	0
45	Single	54	702	54	8	0	0	108515	683	0	correct_rejection	NA	0
45	Single	55	703	55	7	0	0	109232	683	0	correct_rejection	NA	0
45	Single	56	704	56	7	0	0	109948	684	0	correct_rejection	NA	0
45	Single	57	705	57	4	0	0	110665	683	0	correct_rejection	NA	0
45	Single	58	706	58	0	1	1	111381	684	1	hit	494	0
45	Single	59	707	59	4	0	0	112098	684	0	correct_rejection	NA	0
45	Single	60	708	60	6	0	0	112815	683	0	correct_rejection	NA	0
45	Single	61	709	61	5	0	0	113531	684	0	correct_rejection	NA	0
45	Single	62	710	62	4	0	0	114248	684	0	correct_rejection	NA	0
45	Single	63	711	63	7	0	0	114965	683	0	correct_rejection	NA	0
45	Single	64	712	64	6	0	0	115681	684	0	correct_rejection	NA	0
45	Single	65	713	65	6	0	0	116398	683	0	correct_rejection	NA	0
45	Single	66	714	66	9	0	0	117115	683	0	correct_rejection	NA	0
45	Single	67	715	67	0	1	1	117831	684	1	hit	578	0
45	Single	68	716	68	9	0	0	118548	683	0	correct_rejection	NA	0
45	Single	69	717	69	8	0	0	119265	683	0	correct_rejection	NA	0
45	Single	70	718	70	0	1	1	119981	684	1	hit	546	0
45	Single	71	719	71	6	0	0	120698	683	0	correct_rejection	NA	0
45	Single	72	720	72	4	0	0	121415	683	0	correct_rejection	NA	0
45	Single	73	721	73	5	0	0	122131	684	0	correct_rejection	NA	0
45	Single	74	722	74	5	0	0	122848	683	0	correct_rejection	NA	0
45	Single	75	723	75	0	1	1	123565	683	1	hit	417	0
45	Single	76	724	76	6	0	0	124281	684	0	correct_rejection	NA	0
45	Single	77	725	77	7	0	0	124998	683	0	correct_rejection	NA	0
45	Single	78	726	78	0	1	1	125715	683	1	hit	452	0
45	Single	79	727	79	5	0	0	126431	684	0	correct_rejection	NA	0
45	Single	80	728	80	5	0	0	127148	683	0	correct_rejection	NA	0
45	Single	81	729	81	4	0	0	127865	683	0	correct_rejection	NA	0
45	Single	82	730	82	0	1	1	128581	684	1	hit	443	0
45	Single	83	731	83	9	0	0	129298	683	0	correct_rejection	NA	0
45	Single	84	732	84	5	0	0	130015	683	0	correct_rejection	NA	0
45	Single	85	733	85	6	0	0	130731	684	0	correct_rejection	NA	0
45	Single	86	734	86	4	0	0	131448	683	0	correct_rejection	NA	0
45	Single	87	735	87	0	1	1	132165	683	1	hit	466	0
45	Single	88	736	88	7	0	0	132881	684	0	correct_rejection	NA	0
45	Single	89	737	89	9	0	0	133598	683	0	correct_rejection	NA	0
45	Single	90	738	90	8	0	0	134315	683	0	correct_rejection	NA	0
45	Single	91	739	91	8	0	0	135031	684	0	correct_rejection	NA	0
45	Single	92	740	92	7	0	0	135748	683	0	correct_rejection	NA	0
45	Single	93	741	93	8	0	0	136465	683	0	correct_rejection	NA	0
45	Single	94	742	94	0	1	1	137181	684	1	hit	474	0
45	Single	95	743	95	4	0	0	137898	683	0	correct_rejection	NA	0
45	Single	96	744	96	8	0	0	138614	684	0	correct_rejection	NA	0
45	Single	97	745	97	5	0	0	139331	684	0	correct_rejection	NA	0
45	Single	98	746	98	5	0	0	140048	683	0	correct_rejection	NA	0
45	Single	99	747	99	8	0	0	140764	684	0	correct_rejection	NA	0
45	Single	100	748	100	9	0	0	141481	683	0	correct_rejection	NA	0
45	Single	101	749	101	4	0	0	142198	683	0	correct_rejection	NA	0
45	Single	102	750	102	4	0	0	142914	684	0	correct_rejection	NA	0
45	Single	103	751	103	0	1	1	143631	683	1	hit	484	0
45	Single	104	752	104	5	0	0	144348	683	0	correct_rejection	NA	0
45	Single	105	753	105	9	0	0	145064	684	0	correct_rejection	NA	0
45	Single	106	754	106	9	0	0	145781	683	0	correct_rejection	NA	0
45	Single	107	755	107	7	0	0	146498	683	0	correct_rejection	NA	0
45	Single	108	756	108	6	0	0	147214	684	0	correct_rejection	NA	0
45	Single	109	757	109	7	0	0	147931	683	0	correct_rejection	NA	0
45	Single	110	758	110	7	0	0	148648	683	0	correct_rejection	NA	0
45	Single	111	759	111	5	0	0	149364	684	0	correct_rejection	NA	0
45	Single	112	760	112	0	1	1	150081	683	1	hit	521	0
45	Single	113	761	113	7	0	0	150798	683	0	correct_rejection	NA	0
45	Single	114	762	114	4	0	0	151514	684	0	correct_rejection	NA	0
45	Single	115	763	115	6	0	0	152231	683	0	correct_rejection	NA	0
45	Single	116	764	116	9	0	0	152948	683	0	correct_rejection	NA	0
45	Single	117	765	117	6	0	0	153664	684	0	correct_rejection	NA	0
45	Single	118	766	118	6	0	0	154381	683	0	correct_rejection	NA	0
45	Single	119	767	119	8	0	0	155098	683	0	correct_rejection	NA	0
45	Single	120	768	120	6	0	0	155814	684	0	correct_rejection	NA	0
45	Single	121	769	121	0	1	1	156531	683	1	hit	522	0
45	Single	122	770	122	7	0	0	157248	683	0	correct_rejection	NA	0
45	Single	123	771	123	7	0	0	157964	684	0	correct_rejection	NA	0
45	Single	124	772	124	8	0	0	158681	683	0	correct_rejection	NA	0
45	Single	125	773	125	7	0	0	159398	683	0	correct_rejection	NA	0
45	Single	126	774	126	6	0	0	160114	684	0	correct_rejection	NA	0
45	Single	127	775	127	9	0	0	160831	683	0	correct_rejection	NA	0
45	Single	128	776	128	7	0	0	161548	683	0	correct_rejection	NA	0
45	Single	129	777	129	0	1	1	162264	684	1	hit	579	0
