count,region,catoROI,msbpROI,annotLabel,hemi
114,ctx-rh-caudalmiddlefrontal_1,2004,28,28,rh
115,ctx-rh-caudalmiddlefrontal_2,2005,29,29,rh
116,ctx-rh-caudalmiddlefrontal_3,2006,30,30,rh
117,ctx-rh-cuneus_1,2007,72,72,rh
118,ctx-rh-cuneus_2,2008,73,73,rh
119,ctx-rh-entorhinal_1,2009,89,89,rh
120,ctx-rh-fusiform_1,2010,84,84,rh
121,ctx-rh-fusiform_2,2011,85,85,rh
122,ctx-rh-fusiform_3,2012,86,86,rh
123,ctx-rh-fusiform_4,2013,87,87,rh
124,ctx-rh-inferiorparietal_1,2014,61,61,rh
125,ctx-rh-inferiorparietal_2,2015,62,62,rh
126,ctx-rh-inferiorparietal_3,2016,63,63,rh
127,ctx-rh-inferiorparietal_4,2017,64,64,rh
128,ctx-rh-inferiorparietal_5,2018,65,65,rh
129,ctx-rh-inferiorparietal_6,2019,66,66,rh
130,ctx-rh-inferiortemporal_1,2020,91,91,rh
131,ctx-rh-inferiortemporal_2,2021,92,92,rh
132,ctx-rh-inferiortemporal_3,2022,93,93,rh
133,ctx-rh-inferiortemporal_4,2023,94,94,rh
134,ctx-rh-isthmuscingulate_1,2024,44,44,rh
135,ctx-rh-lateraloccipital_1,2025,76,76,rh
136,ctx-rh-lateraloccipital_2,2026,77,77,rh
137,ctx-rh-lateraloccipital_3,2027,78,78,rh
138,ctx-rh-lateraloccipital_4,2028,79,79,rh
139,ctx-rh-lateraloccipital_5,2029,80,80,rh
140,ctx-rh-lateralorbitofrontal_1,2030,1,1,rh
141,ctx-rh-lateralorbitofrontal_2,2031,2,2,rh
142,ctx-rh-lateralorbitofrontal_3,2032,3,3,rh
143,ctx-rh-lateralorbitofrontal_4,2033,4,4,rh
144,ctx-rh-lingual_1,2034,81,81,rh
145,ctx-rh-lingual_2,2035,82,82,rh
146,ctx-rh-lingual_3,2036,83,83,rh
147,ctx-rh-medialorbitofrontal_1,2037,7,7,rh
148,ctx-rh-medialorbitofrontal_2,2038,8,8,rh
149,ctx-rh-medialorbitofrontal_3,2039,9,9,rh
150,ctx-rh-middletemporal_1,2040,95,95,rh
151,ctx-rh-middletemporal_2,2041,96,96,rh
152,ctx-rh-middletemporal_3,2042,97,97,rh
153,ctx-rh-middletemporal_4,2043,98,98,rh
154,ctx-rh-parahippocampal_1,2044,88,88,rh
155,ctx-rh-paracentral_1,2045,37,37,rh
156,ctx-rh-paracentral_2,2046,38,38,rh
157,ctx-rh-paracentral_3,2047,39,39,rh
