ID	block	trial_block	trial_cat	trial_total	number	violation	level_violation	onset	duration	Response	Hit_Miss	RT	pre_trial_fixcross_ISIfirst_trigger_at: 0
trigger nr 4 at 6000

1	Single	1	487	1	7	0	0	13454	692	0	correct_rejection	NA	43337
1	Single	2	488	2	4	0	0	14162	692	0	correct_rejection	NA	0
1	Single	3	489	3	5	0	0	14871	692	0	correct_rejection	NA	0
1	Single	4	490	4	5	0	0	15580	691	0	correct_rejection	NA	0
1	Single	5	491	5	7	0	0	16288	692	0	correct_rejection	NA	0
1	Single	6	492	6	0	1	1	16997	691	1	hit	314	0
1	Single	7	493	7	6	0	0	17705	692	0	correct_rejection	NA	0
1	Single	8	494	8	4	0	0	18414	692	0	correct_rejection	NA	0
1	Single	9	495	9	9	0	0	19122	692	0	correct_rejection	NA	0
1	Single	10	496	10	5	0	0	19831	692	0	correct_rejection	NA	0
1	Single	11	497	11	9	0	0	20540	691	0	correct_rejection	NA	0
1	Single	12	498	12	0	1	1	21248	692	1	hit	335	0
1	Single	13	499	13	4	0	0	21957	691	0	correct_rejection	NA	0
1	Single	14	500	14	8	0	0	22665	692	0	correct_rejection	NA	0
1	Single	15	501	15	5	0	0	23374	692	0	correct_rejection	NA	0
1	Single	16	502	16	8	0	0	24082	692	0	correct_rejection	NA	0
1	Single	17	503	17	4	0	0	24791	692	0	correct_rejection	NA	0
1	Single	18	504	18	7	0	0	25500	691	0	correct_rejection	NA	0
1	Single	19	505	19	8	0	0	26208	692	0	correct_rejection	NA	0
1	Single	20	506	20	6	0	0	26917	691	0	correct_rejection	NA	0
1	Single	21	507	21	8	0	0	27625	692	0	correct_rejection	NA	0
1	Single	22	508	22	9	0	0	28334	691	0	correct_rejection	NA	0
1	Single	23	509	23	7	0	0	29042	692	0	correct_rejection	NA	0
1	Single	24	510	24	5	0	0	29751	692	0	correct_rejection	NA	0
1	Single	25	511	25	6	0	0	30459	692	0	correct_rejection	NA	0
1	Single	26	512	26	9	0	0	31168	692	0	correct_rejection	NA	0
1	Single	27	513	27	6	0	0	31877	691	0	correct_rejection	NA	0
1	Single	28	514	28	6	0	0	32585	692	0	correct_rejection	NA	0
1	Single	29	515	29	0	1	1	33294	691	1	hit	322	0
1	Single	30	516	30	5	0	0	34002	692	0	correct_rejection	NA	0
1	Single	31	517	31	4	0	0	34711	692	0	correct_rejection	NA	0
1	Single	32	518	32	0	1	1	35419	692	1	hit	406	0
1	Single	33	519	33	4	0	0	36128	692	0	correct_rejection	NA	0
1	Single	34	520	34	6	0	0	36837	691	0	correct_rejection	NA	0
1	Single	35	521	35	7	0	0	37545	692	0	correct_rejection	NA	0
1	Single	36	522	36	7	0	0	38254	691	0	correct_rejection	NA	0
1	Single	37	523	37	9	0	0	38962	692	0	correct_rejection	NA	0
1	Single	38	524	38	9	0	0	39671	692	0	correct_rejection	NA	0
1	Single	39	525	39	8	0	0	40379	692	0	correct_rejection	NA	0
1	Single	40	526	40	8	0	0	41088	692	0	correct_rejection	NA	0
1	Single	41	527	41	5	0	0	41797	691	0	correct_rejection	NA	0
1	Single	42	528	42	9	0	0	42505	692	0	correct_rejection	NA	0
1	Single	43	529	43	9	0	0	43214	691	0	correct_rejection	NA	0
1	Single	44	530	44	7	0	0	43922	692	0	correct_rejection	NA	0
1	Single	45	531	45	9	0	0	44631	692	0	correct_rejection	NA	0
1	Single	46	532	46	5	0	0	45339	692	0	correct_rejection	NA	0
1	Single	47	533	47	5	0	0	46048	692	0	correct_rejection	NA	0
1	Single	48	534	48	8	0	0	46757	691	0	correct_rejection	NA	0
1	Single	49	535	49	7	0	0	47465	692	0	correct_rejection	NA	0
1	Single	50	536	50	5	0	0	48174	691	0	correct_rejection	NA	0
1	Single	51	537	51	4	0	0	48882	692	0	correct_rejection	NA	0
1	Single	52	538	52	5	0	0	49591	691	0	correct_rejection	NA	0
1	Single	53	539	53	0	1	1	50299	692	1	hit	423	0
1	Single	54	540	54	7	0	0	51008	692	0	correct_rejection	NA	0
1	Single	55	541	55	7	0	0	51716	692	0	correct_rejection	NA	0
1	Single	56	542	56	0	1	1	52425	692	1	hit	463	0
1	Single	57	543	57	4	0	0	53134	691	0	correct_rejection	NA	0
1	Single	58	544	58	9	0	0	53842	692	0	correct_rejection	NA	0
1	Single	59	545	59	6	0	0	54551	691	0	correct_rejection	NA	0
1	Single	60	546	60	7	0	0	55259	692	0	correct_rejection	NA	0
1	Single	61	547	61	8	0	0	55968	692	0	correct_rejection	NA	0
1	Single	62	548	62	4	0	0	56676	692	0	correct_rejection	NA	0
1	Single	63	549	63	6	0	0	57385	692	0	correct_rejection	NA	0
1	Single	64	550	64	5	0	0	58094	691	0	correct_rejection	NA	0
1	Single	65	551	65	0	1	1	58802	692	1	hit	370	0
1	Single	66	552	66	6	0	0	59511	691	0	correct_rejection	NA	0
1	Single	67	553	67	6	0	0	60219	692	0	correct_rejection	NA	0
1	Single	68	554	68	9	0	0	60928	692	0	correct_rejection	NA	0
1	Single	69	555	69	8	0	0	61636	692	0	correct_rejection	NA	0
1	Single	70	556	70	9	0	0	62345	692	0	correct_rejection	NA	0
1	Single	71	557	71	4	0	0	63054	691	0	correct_rejection	NA	0
1	Single	72	558	72	4	0	0	63762	692	0	correct_rejection	NA	0
1	Single	73	559	73	8	0	0	64471	691	0	correct_rejection	NA	0
1	Single	74	560	74	6	0	0	65179	692	0	correct_rejection	NA	0
1	Single	75	561	75	0	1	1	65888	692	1	hit	414	0
1	Single	76	562	76	4	0	0	66596	692	0	correct_rejection	NA	0
1	Single	77	563	77	7	0	0	67305	692	0	correct_rejection	NA	0
1	Single	78	564	78	6	0	0	68014	691	0	correct_rejection	NA	0
1	Single	79	565	79	8	0	0	68722	692	0	correct_rejection	NA	0
1	Single	80	566	80	8	0	0	69431	691	0	correct_rejection	NA	0
1	Single	81	567	81	4	0	0	70139	692	0	correct_rejection	NA	0
1	Single	82	568	82	7	0	0	70848	691	0	correct_rejection	NA	0
1	Single	83	569	83	5	0	0	71556	692	0	correct_rejection	NA	0
1	Single	84	570	84	5	0	0	72265	692	0	correct_rejection	NA	0
1	Single	85	571	85	4	0	0	72973	692	0	correct_rejection	NA	0
1	Single	86	572	86	0	1	1	73682	692	1	hit	419	0
