ID	block	trial_block	trial_cat	trial_total	number	violation	level_violation	onset	duration	Response	Hit_Miss	RT	pre_trial_fixcross_ISIfirst_trigger_at: 0
trigger nr 18 at 34000

1	Single	1	325	1	9	0	0	43530	692	0	correct_rejection	NA	135177
1	Single	2	326	2	5	0	0	44239	692	0	correct_rejection	NA	0
1	Single	3	327	3	7	0	0	44948	691	0	correct_rejection	NA	0
1	Single	4	328	4	6	0	0	45656	692	0	correct_rejection	NA	0
1	Single	5	329	5	9	0	0	46365	691	0	correct_rejection	NA	0
1	Single	6	330	6	4	0	0	47073	692	0	correct_rejection	NA	0
1	Single	7	331	7	4	0	0	47782	692	0	correct_rejection	NA	0
1	Single	8	332	8	7	0	0	48490	692	0	correct_rejection	NA	0
1	Single	9	333	9	8	0	0	49199	692	0	correct_rejection	NA	0
1	Single	10	334	10	0	1	1	49908	691	0	miss	NA	0
1	Single	11	335	11	5	0	0	50616	692	0	correct_rejection	NA	0
1	Single	12	336	12	9	0	0	51325	691	0	correct_rejection	NA	0
1	Single	13	337	13	8	0	0	52033	692	0	correct_rejection	NA	0
1	Single	14	338	14	6	0	0	52742	692	0	correct_rejection	NA	0
1	Single	15	339	15	7	0	0	53450	692	0	correct_rejection	NA	0
1	Single	16	340	16	4	0	0	54159	692	0	correct_rejection	NA	0
1	Single	17	341	17	5	0	0	54868	691	0	correct_rejection	NA	0
1	Single	18	342	18	8	0	0	55576	692	0	correct_rejection	NA	0
1	Single	19	343	19	8	0	0	56285	691	0	correct_rejection	NA	0
1	Single	20	344	20	9	0	0	56993	692	0	correct_rejection	NA	0
1	Single	21	345	21	7	0	0	57702	692	0	correct_rejection	NA	0
1	Single	22	346	22	5	0	0	58410	692	0	correct_rejection	NA	0
1	Single	23	347	23	5	0	0	59119	691	0	correct_rejection	NA	0
1	Single	24	348	24	4	0	0	59828	691	0	correct_rejection	NA	0
1	Single	25	349	25	0	1	1	60536	692	0	miss	NA	0
1	Single	26	350	26	9	0	0	61245	691	0	correct_rejection	NA	0
1	Single	27	351	27	9	0	0	61953	692	0	correct_rejection	NA	0
1	Single	28	352	28	6	0	0	62662	691	0	correct_rejection	NA	0
1	Single	29	353	29	8	0	0	63370	692	0	correct_rejection	NA	0
1	Single	30	354	30	4	0	0	64079	692	0	correct_rejection	NA	0
1	Single	31	355	31	6	0	0	64787	692	0	correct_rejection	NA	0
1	Single	32	356	32	0	1	1	65496	692	0	miss	NA	0
1	Single	33	357	33	6	0	0	66205	691	0	correct_rejection	NA	0
1	Single	34	358	34	5	0	0	66913	692	0	correct_rejection	NA	0
1	Single	35	359	35	6	0	0	67622	691	0	correct_rejection	NA	0
1	Single	36	360	36	4	0	0	68330	692	0	correct_rejection	NA	0
1	Single	37	361	37	8	0	0	69039	692	0	correct_rejection	NA	0
1	Single	38	362	38	7	0	0	69747	692	0	correct_rejection	NA	0
1	Single	39	363	39	7	0	0	70456	692	0	correct_rejection	NA	0
1	Single	40	364	40	5	0	0	71165	691	0	correct_rejection	NA	0
1	Single	41	365	41	8	0	0	71873	692	0	correct_rejection	NA	0
1	Single	42	366	42	4	0	0	72582	691	0	correct_rejection	NA	0
1	Single	43	367	43	5	0	0	73290	692	0	correct_rejection	NA	0
1	Single	44	368	44	6	0	0	73999	692	0	correct_rejection	NA	0
1	Single	45	369	45	0	1	1	74707	692	0	miss	NA	0
1	Single	46	370	46	8	0	0	75416	692	0	correct_rejection	NA	0
1	Single	47	371	47	6	0	0	76125	691	0	correct_rejection	NA	0
1	Single	48	372	48	6	0	0	76833	692	0	correct_rejection	NA	0
1	Single	49	373	49	4	0	0	77542	691	0	correct_rejection	NA	0
1	Single	50	374	50	7	0	0	78250	692	0	correct_rejection	NA	0
1	Single	51	375	51	9	0	0	78959	692	0	correct_rejection	NA	0
1	Single	52	376	52	7	0	0	79667	692	0	correct_rejection	NA	0
1	Single	53	377	53	7	0	0	80376	692	0	correct_rejection	NA	0
1	Single	54	378	54	8	0	0	81085	691	0	correct_rejection	NA	0
1	Single	55	379	55	7	0	0	81793	692	0	correct_rejection	NA	0
1	Single	56	380	56	4	0	0	82502	691	0	correct_rejection	NA	0
1	Single	57	381	57	9	0	0	83210	691	0	correct_rejection	NA	0
1	Single	58	382	58	8	0	0	83919	691	0	correct_rejection	NA	0
1	Single	59	383	59	0	1	1	84627	691	0	miss	NA	0
1	Single	60	384	60	9	0	0	85336	692	0	correct_rejection	NA	0
1	Single	61	385	61	5	0	0	86044	692	0	correct_rejection	NA	0
